Tracking Number,Accession Number,Catalog Number,Family,Genus,Subgenus,Species,Subspecies,Stage,Author,Year,Specimen Number,Collecting Method,Continent,Ocean,Sea/Gulf/Strait,Lake/Pond/Reservoir,Bay/Harbor/Sound,River/Creek,Stream,Mountain Range,Mountain,Island Group,Island,Notes: Locality,Notes: Country,Country,MISCELLANEOUS,Department / Province / State,County,City/Town/Hamlet,Specific Locale,Macro Habitat,Micro Habitat ,Substrate,Temp C,decimal latitude,decimal longitude,Latitude (from),Lat (from) NS,Latitude (to),Lat NS  (to),Longitude (from),Long (from) EW,Longitude   (to) ,Long EW  (to),Elevation from (m),Elevation to (m),Elevation from (f),Elevation to (f),Depth (f) start,Depth (f) end,Depth (m) start,Depth (m) end,Fathoms,Collector,Date Collected,Collection,Donation Date,Notes,Type,Preservation Type,Publication,Collection2
210,10055,302169,Cypraeidae,Cypraea,,lynx,,,Linne,1758,4,,,,,,,,,,,,,,,American Samoa,,,"out along airport runway,",,"at 1 foot on coral rubble,",,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,Nov-78,Dr. Edward A. Dunlap,27-Oct-95,,,,,Dr. Edward A. Dunlap Collection
211,10055,302169,Cypraeidae,Cypraea,,lynx,,,Linne,1758,4,,,,,,,,,,,,,,,American Samoa,,,"out along airport runway,",,"at 1 foot on coral rubble,",,,,,,,,,,,,,,,,,,,,,,,,Coll. Unknown,Nov-78,Dr. Edward A. Dunlap,27-Oct-95,,,,,Dr. Edward A. Dunlap Collection
218,10055,302297,Cypraeidae,Cypraea,,annulus,,,(Linne,1758),12,,,,,,,,,,,,,,,American Samoa,,,"out on beyond canning factory,",,"in coral rubble,",,,,,,,,,,,,,,,,,,,,,,,,Dr. Edward A. Dunlap,Jan-83,Dr. Edward A. Dunlap,27-Oct-95,Live collected,,,,Dr. Edward A. Dunlap Collection
219,10055,302297,Cypraeidae,Cypraea,,annulus,,,(Linne,1758),12,,,,,,,,,,,,,,,American Samoa,,,"out on beyond canning factory,",,"in coral rubble,",,,,,,,,,,,,,,,,,,,,,,,,Dr. Edward A. Dunlap,Jan-83,Dr. Edward A. Dunlap,27-Oct-95,Live collected,,,,Dr. Edward A. Dunlap Collection
261,210310,318202,Bursidae,Bursa,,rhodostoma,,,(Sowerby,1835),1,,,,,,,,,,,,,,,American Samoa,,,Pago Pago,,On coral reef,,,,,,,,,,,,,,,,,,,,,,,,William Christians,1960's,Germer,1999,,,,,Germer Collection
256,9369,318066,Terebridae,Terebra,,nitida,,,Hinds,1844,7,,,Pacific Ocean,,,,,,,,,,,,American Samoa,,,Pago Pago,,,,,,,,,,,,,,,,,,,,,,,,,,W. Christian,1960,Dorothy Germer,1-Sep-84,2997,,,,Dorothy Germer Collection
257,9369,318093,Terebridae,Terebra,,gouldi,,,Deshayes,1859,2,,,Pacific Ocean,,,,,,,,,,,,American Samoa,,,Pago Pago,,,,,,,,,,,,,,,,,,,,,,,,,,W. Christian,1960s,Dorothy Germer,1-Sep-84,3005,,,,Dorothy Germer Collection
258,9369,318098,Terebridae,Terebra,,propinqua,,,Pease,1869,5,,,Pacific Ocean,,,,,,,,,,,,American Samoa,,,Pago Pago,,,,,,,,,,,,,,,,,,,,,,,,,,W. Christian,1960s,Dorothy Germer,1-Sep-84,2999,,,,Dorothy Germer Collection
259,9369,318100,Terebridae,Terebra,,plicatella,,,Deschayes,1857,17,,,Pacific Ocean,,,,,,,,,,,,American Samoa,,,Pago Pago,,,,,,,,,,,,,,,,,,,,,,,,,,Wm. Christian,1960s,Dorothy Germer,1-Sep-84,2996,,,,Dorothy Germer Collection
232,10310,313881,Cypraeidae,Cypraea,,clandestina,,,(Linne,1767),5,,,,,,,,,,,,,,,American Samoa,,,Pago Pago,,,,,,,,,,,,,,,,,,,,,,,,,,W.Christians,1960's,Germer ,1999,,,,,Germer Collection
233,10310,313884,Cypraeidae,Cypraea,,cumingii,,,(Sowerby,1832),2,,,,,,,,,,,,,,,American Samoa,,,Pago Pago,,,,,,,,,,,,,,,,,,,,,,,,,,William Christians,1960's,Germer ,1999,,,,,Germer Collection
252,10310,316415,Olividae,Oliva,,vidua,,,(Roeding,1798),1,,,,,,,,,,,,,,,American Samoa,,,Pago Pago,,,,,,,,,,,,,,,,,,,,,,,,,,W. Christians,1960's,Germer,1999,,,,,Germer Collection
254,210310,317885,Strombidae,Strombus,,bulla,,,(Roeding,1798),3,,,,,,,,,,,,,,,American Samoa,,,Pago Pago,,,,,,,,,,,,,,,,,,,,,,,,,,W.Christians,1960,Germer,1999,,,,,Germer Collection
255,210310,317889,Strombidae,Strombus,,gibberulus,,,Linne,1758,9,,,,,,,,,,,,,,,American Samoa,,,Pago Pago,,,,,,,,,,,,,,,,,,,,,,,,,,W.Christians,1960's,Germer,1999,,,,,Germer Collection
260,210310,318162,Bursidae,Bursa,,affinis,,,Broderip,1832,1,,,,,,,,,,,,,,,American Samoa,,,Pago Pago,,,,,,,,,,,,,,,,,,,,,,,,,,William Christian,1960's,Germer,1999,,,,,Germer Collection
263,210310,318810,Tonnidae,Tonna,,perdix,,,(Linne,1758),1,,,,,,,,,,,,,,,American Samoa,,,Pago Pago,,,,,,,,,,,,,,,,,,,,,,,,,,W. Christians,1962,Germer,1999,,,,,Germer Collection
206,10055,301980,Cypraeidae,Cypraea,,arabica,,,Linne,1758,1,,,,,,,,,,,,,,,American Samoa,,,"Pago Pago,",,"at 2 feet under rubble on rubble, to righ of Rainmaker Hotel,",,,,,,,,,,,,,,,,,,,,,,,,collector unknown,Mar-83,Dr. Edward A. Dunlap,27-Oct-95,,,,,Dr. Edward A. Dunlap Collection
207,10055,301980,Cypraeidae,Cypraea,,arabica,,,Linne,1758,1,,,,,,,,,,,,,,,American Samoa,,,"Pago Pago,",,"at 2 feet under rubble on rubble, to righ of Rainmaker Hotel,",,,,,,,,,,,,,,,,,,,,,,,,collector unknown,Mar-83,Dr. Edward A. Dunlap,27-Oct-95,,,,,Dr. Edward A. Dunlap Collection
251,10310,315335,Trochidae,Umbonium,,guamensis,,,Quoy & Gaimard,1834,2,,,,,,,,,,,,,,,American Samoa,,,PagoPago,,,,,,,,,,,,,,,,,,,,,,,,,,W.Christians,1960's,Germer,1999,,,,,Germer Collection
236,10308,314982,Buccinidae,,,,,,,,1,,,Pacific Ocean,,,,,,,,,,,,American Samoa,,,"S. side of Tutuila Island, Itu'au County",,"North of Pago Pago International Airport, public beach near Arau, mostly Halimeda and rock washes in 0.5-1.5 m depth, sieved through 240 micrometer sieve",,,,,,,,,,,,,,,,,,,,,,,,R. C. Brusca and R. Wetzer,15-Jan-93,Smithsonian Institution,1-Nov-99,"National Geographic Society - Weiler Foundation South Pacific Expedition, S. Hewitt det. July 2004",,alc,,
246,10308,315288,Hipponicidea,,,,,,,,1,,,Pacific Ocean,,,,,,,,,,,,American Samoa,,,"S. side of Tutuila Island, Itu'au County",,"North of Pago Pago International Airport, public beach near Arau, mostly Hallimeda and rock washes in 0.5 - 1.5 m depth, sieved through 240 micrometer sieve",,,,,,,,,,,,,,,,,,,,,,,,R. C. Brusca and R. Wetzer,15-Jan-93,Smithsonian Institution,1-Nov-99,"National Geographic Society - Weiler Foundation South Pacific Expedition, S. Hewitt det. June 2004",,alc,,
